dumb;Keyword;Site;Name;City;Country;Longitude;Latitude
0;Aspremont (06);ASP-FR;un;un;un;0.0;0.0
0;Aspremont (06) Fr;ASP-FR;un;un;un;0.0;0.0
0;AstroLAB IRIS;ALI-BE;un;un;un;0.0;0.0
0;Baltimore, MD, USA;BAL-US;un;un;un;0.0;0.0
0;Boos;BOO-FR;un;un;un;0.0;0.0
0;BRIXIIS;BRI-BE;un;un;un;0.0;0.0
0;Bucharest;BUC-RO;un;un;un;0.0;0.0
0;Campinas-SP-BR;CAM-BR;un;un;un;0.0;0.0
0;Canberra 35 13 17 141 01 49 E;CAN-AU;un;un;un;0.0;0.0
0;Canberra 35 13 17 S 141 01 49 E;CAN-AU;un;un;un;0.0;0.0
0;dijon;DIJ-FR;un;un;un;0.0;0.0
0;Durham UK;DUR-UK;un;un;un;0.0;0.0
0;EB2 TSC225 LHiReS3#30 1200;OGV-FR;un;un;un;0.0;0.0
0;Falera;FAL-??;un;un;un;0.0;0.0
0;Fayssac;FAY-FR;un;un;un;0.0;0.0
0;Fontcaude;FON-FR;un;un;un;0.0;0.0
0;Giesen (Germany);GIE-DE;un;un;un;0.0;0.0
0;Houten, Netherlands;HOU-NL;un;un;un;0.0;0.0
0;Houten, NL;HOU-NL;un;un;un;0.0;0.0
0;Houten, The Netherlands;HOU-NL;un;un;un;0.0;0.0
0;IAC80_Teide;IAC80-SP;un;un;un;0.0;0.0
0;Idaho falls;DHO-US;un;un;un;0.0;0.0
0;Idaho Falls 2013;DHO-US;un;un;un;0.0;0.0
0;Kermerrien Observatory;KER-FR;un;un;un;0.0;0.0
0;KG Home;KGH-UK;un;un;un;0.0;0.0
0;Latham;LAT-AU;un;un;un;0.0;0.0
0;LOR-FR;LOR-FR;un;un;un;0.0;0.0
0;Maienfeld;MAI-??;un;un;un;0.0;0.0
0;Melbourne, Australia;MEL-AU;un;un;un;0.0;0.0
0;MEZE;MEZ-FR;un;un;un;0.0;0.0
0;Miami;MIA-US;un;un;un;0.0;0.0
0;Mielec, PL;MIE-PL;un;un;un;0.0;0.0
0;O.V.A.;OVA-FR;un;un;un;0.0;0.0
0;OAMH Osservatorio Hack Firenze;???-??;un;un;un;0.0;0.0
0;Obs Pollmann Leverkusen;OPL-DE;un;un;un;0.0;0.0
0;Observatoire de la grande vallee;OGV-FR;un;un;un;0.0;0.0
0;Observatoire de St Veran;???-??;un;un;un;0.0;0.0
0;Observatoire Haute Provence;OHP-FR;un;un;un;0.0;0.0
0;Okie-Tex Star Party 2013;TEX-US;un;un;un;0.0;0.0
0;OTSP;OKL-US;un;un;un;0.0;0.0
0;OTSP 2017 Oklahoma;OKL-US;un;un;un;0.0;0.0
0;OTSP2014;TEX-US;un;un;un;0.0;0.0
0;Raheny, Dublin, J41;DUB-IE;un;un;un;0.0;0.0
0;Revel38420;REV-FR;un;un;un;0.0;0.0
0;Roncevaux;RON-FR;un;un;un;0.0;0.0
0;RON-FR;RON-FR;un;un;un;0.0;0.0
0;rwschram;???-??;un;un;un;0.0;0.0
0;Saltwater;SAL-AU;un;un;un;0.0;0.0
0;sauk centre, mn usa;SAU-US;un;un;un;0.0;0.0
0;sauk centre, mn, usa;SAU-US;un;un;un;0.0;0.0
0;Schwerzenbach;SCH-CH;un;un;un;0.0;0.0
0;Sirene;SIR-FR;un;un;un;0.0;0.0
0;STA MARIA DE MONTMAGASTRELL;SMM-SP;un;un;un;0.0;0.0
0;T60 Pic du Midi;PDM-FR;un;un;un;0.0;0.0
0;THO   robin@threehillsobservatory.co.uk;THO-UK;un;un;un;0.0;0.0
0;THREE HILLS OBSERVATORY;THO-UK;un;un;un;0.0;0.0
0;TOURS;TRS-FR;un;un;un;0.0;0.0
0;TSP;TEX-US;un;un;un;0.0;0.0
0;TSP 2013;TEX-US;un;un;un;0.0;0.0
0;TSP 2018;TEX-US;un;un;un;0.0;0.0
0;TSP2018;TEX-US;un;un;un;0.0;0.0
0;UnderOak Observatory;UOO-US;un;un;un;0.0;0.0
0;UnderOak USA;UOO-US;un;un;un;0.0;0.0
0;Varsity Lakes;VAL-AU;un;un;un;0.0;0.0
0;West_Challow_Observatory;WCO-UK;un;un;un;0.0;0.0
0;West_Challow_Observatory_UK;WCO-UK;un;un;un;0.0;0.0
0;Kermerrien observatory;KER-FR;un;un;un;0.0;0.0
0;Meze;MEZ-FR;un;un;un;0.0;0.0
0;RWSchram;???-??;un;un;un;0.0;0.0
0;SSO-FR;SSO-FR;un;un;un;0.0;0.0
0;ASBRA I - S�o Sebasti�o da Grama;SSG-BR;;BR;-46.792;-21.70169;
0;ASBRA I - S?o Sebasti?o da Grama;SSG-BR;un;un;un;0.0;0.0
0;ASBRA I - Sao Sebastiao da Grama;SSG-BR;un;un;un;0.0;0.0
0;DHO-US;DCO-US;un;un;un;0.0;0.0
0;IGE-PT;IGE-PT;un;un;un;0.0;0.0
0;JUV-FR;JUV-FR;un;un;un;0.0;0.0
0;OVA-FR;OVA-FR;un;un;un;0.0;0.0
0;OCT;OCT-FR;un;un;un;0.0;0.0
0;Wells. Somerset UK;no;un;un;un;0.0;0.0
0;Rutherford St Observatory;RSO-NZ;un;un;NZ;173.284;-41.2706
0;Wells, Somerset UK;no;un;un;un;0.0;0.0
0;orlienas;ORL-FR;un;un;un;0.0;0.0
0;-;;un;un;un;0.0;0.0
0;OMSJ;OSJ-CA;Observatoire du Mont Saint Joseph;;CA;-71.0;45.0
0;UNM-US;DD Las Cruces-New Mexico;un;US;-106.56;32.28;
0;DD Las Cruces-New Mexico;UNM-US;un;un;un;0.0;0.0
0;Cracow, PL;CRW-PL;un;un;un;0.0;0.0
0;Gaillac;GAI-FR;un;un;un;0.0;0.0
0;Mas du Mirage;MDM-FR;un;FR;+5.45;43.54;
0;Observatoire Rouen Sud (OSR-FR);ORS-FR;un;un;un;0.0;0.0
0;K21-FR_St_Saturnin;K21-FR;un;un;un;0.0;0.0
0;xxx-FR;xxx-FR;un;un;un;0.0;0.0
0;IAU199;CPS-FR;un;un;un;0.0;0.0
0;iTelescope Facility, SSO, Australia;SSO-AU;un;un;un;0.0;0.0
0;Nice Shakespeare;NSH-FR;Nice;France;7.25;43.7;
0;Saesteorra;SEA-NZ;Saesteorra;New Zeland;175.464208;-41.218624;
0;Lost Gold Observatory;LGO-US;Gold Canyon, Arizona;USA;-111.4513;33.384;
0;La Montagne;LAM-FR;-;France;-1.68;47.181;
0;NHSA Mexico;NHSA-MX;-;Mexico;;;
0;NHSA-MX;NHSA-MX;-;Mexico;;;
0;El Gallinero;ELG-SP;El gallinero;SP;356.413;40.883;
0;OABAC;OABAC-FR;-;FR;5;43;
0;RUTHERFORD STREET;SEA-NZ;Saesteorra;New Zeland;175.464208;-41.218624;
0;PBO;PBO-FR;;France;;;
0;Rutherford street;SEA-NZ;Saesteorra;New Zeland;175.464208;-41.218624;
0;CAJMS - IAU199 - Planete Sciences;CPS-FR;;France;2.26;48.17;
0;Pelleautier;ASA-FR;;France;6;44;
0;IUSB Observatory;IUSB-US;Indiana;USA;-86.24;;41.65
0;ASA-FR;ASA-FR;;France;6;44;
0;San Jose, CA, USA;SJO-US;USA;-121.8258;;37.2883;
0;Saint-Roch;SRO-FR;Saint-Roch;France;0.5824;47.4439;
0;Mezery (CH);MEZ-CH;CH;6.7167;46.75;;
0;La Mesa;SDC-US;US;;;;
0;DSC;DSC-CL;un;Chili;un;-70.85;-30.53
0;iTelescope Facility, Siding Springs Observatory, Australia;SSO-AU;un;un;un;0.0;0.0
0;Mountain Peak Remote Observatory, Spain;MPO-SP;Spain;-6.6275;38.21583;535;
0;Azara;ELG-SP;El gallinero;SP;356.413;40.883;
0;Miror;XXX-XX;x;x;x;x;
0;AZARA;ELG-SP;El gallinero;SP;356.413;40.883;
0;PinonPines_Jrf;MTP-US;;Mt. Pinos, Nordic Base, CA;UK;-119.13;34.81
0;Saesteorra;SAE-NZ;;NZ;175.46;-41.22;
0;Deep Sky Chile;DSC-CL;un;Chili;un;-70.85;-30.53
0;Dark Horizons;DHO-US;;Idaho Falls;US;-112.97;43.5
0;W96-CL;W96-CL;;Chile;CL;-68.1796;-22.931
0;Aitp-SpaceObs;W96-CL;;Chile;CL;-68.1796;-22.931
0;Aitp-alsace;W96-CL;;Chile;CL;-68.1796;-22.931
0;Baden;BAD-FR;;France;FR;-2.93493;47.6163
0;OAPA Osservatorio Piero Angela;OAPA-IT;;Italia;IT;;
0;Embourie;EMB-FR;Emborie;FR;0.04123;46.0422;
0;Erbenheim;ERB-DE;Erbenheim;DE;8.3;50.1;
0;Star*Quest;S*Q-US;;US;-84.93;41.08;
0;StarQuest;S*Q-US;;US;-84.93;41.08;
